Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
DS 412 (P),2020-02-06,11:30:00,2020-02-06,12:30:00,FALSE,Inferential Statistics for Data Science,FRL,FALSE
DS 412 (P),2020-02-06,12:30:00,2020-02-06,13:30:00,FALSE,Inferential Statistics for Data Science,FRL,FALSE
CS 3112 (P),2020-02-06,14:30:00,2020-02-06,15:30:00,FALSE,Multi-Device Programming,FRL,FALSE
CS 3112 (P),2020-02-06,15:30:00,2020-02-06,16:30:00,FALSE,Multi-Device Programming,FRL,FALSE
CS 3112 (P),2020-02-06,16:30:00,2020-02-06,17:30:00,FALSE,Multi-Device Programming,FRL,FALSE
DS 412 (P),2020-02-07,8:30:00,2020-02-07,9:30:00,FALSE,Inferential Statistics for Data Science,FRL,FALSE
DS 412 (P),2020-02-07,9:30:00,2020-02-07,10:30:00,FALSE,Inferential Statistics for Data Science,FRL,FALSE
CS 392 (P),2020-02-07,10:30:00,2020-02-07,11:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
CS 392 (P),2020-02-07,11:30:00,2020-02-07,12:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
CS 392 (P),2020-02-07,12:30:00,2020-02-07,13:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
CS 3112 (P),2020-02-07,14:30:00,2020-02-07,15:30:00,FALSE,Multi-Device Programming,FRL,FALSE
CS 3112 (P),2020-02-07,15:30:00,2020-02-07,16:30:00,FALSE,Multi-Device Programming,FRL,FALSE
CS 3112 (P),2020-02-07,16:30:00,2020-02-07,17:30:00,FALSE,Multi-Device Programming,FRL,FALSE
MGT 401 (L),2020-02-10,15:30:00,2020-02-10,16:30:00,FALSE,Entrepreneurship,LT 202,FALSE
CS 392 (P),2020-02-11,9:30:00,2020-02-11,10:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
CS 392 (P),2020-02-11,10:30:00,2020-02-11,11:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
CS 392 (P),2020-02-11,11:30:00,2020-02-11,12:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
DS 412 (L),2020-02-11,14:30:00,2020-02-11,15:30:00,FALSE,Inferential Statistics for Data Science,LT 212,FALSE
CS 392 (L),2020-02-11,15:30:00,2020-02-11,16:30:00,FALSE,Capstone Project I,LT 201,FALSE
CS 3112 (L),2020-02-12,9:30:00,2020-02-12,10:30:00,FALSE,Multi-Device Programming,LT 201,FALSE
DS 412 (L),2020-02-12,10:30:00,2020-02-12,11:30:00,FALSE,Inferential Statistics for Data Science,LT 202,FALSE
MGT 401 (L),2020-02-12,14:30:00,2020-02-12,15:30:00,FALSE,Entrepreneurship,LT 202,FALSE
MGT 401 (L),2020-02-13,8:30:00,2020-02-13,9:30:00,FALSE,Entrepreneurship,LT 212,FALSE
DS 412 (P),2020-02-13,11:30:00,2020-02-13,12:30:00,FALSE,Inferential Statistics for Data Science,FRL,FALSE
DS 412 (P),2020-02-13,12:30:00,2020-02-13,13:30:00,FALSE,Inferential Statistics for Data Science,FRL,FALSE
CS 3112 (P),2020-02-13,14:30:00,2020-02-13,15:30:00,FALSE,Multi-Device Programming,FRL,FALSE
CS 3112 (P),2020-02-13,15:30:00,2020-02-13,16:30:00,FALSE,Multi-Device Programming,FRL,FALSE
CS 3112 (P),2020-02-13,16:30:00,2020-02-13,17:30:00,FALSE,Multi-Device Programming,FRL,FALSE
DS 412 (P),2020-02-14,8:30:00,2020-02-14,9:30:00,FALSE,Inferential Statistics for Data Science,FRL,FALSE
DS 412 (P),2020-02-14,9:30:00,2020-02-14,10:30:00,FALSE,Inferential Statistics for Data Science,FRL,FALSE
CS 392 (P),2020-02-14,10:30:00,2020-02-14,11:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
CS 392 (P),2020-02-14,11:30:00,2020-02-14,12:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
CS 392 (P),2020-02-14,12:30:00,2020-02-14,13:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
CS 3112 (P),2020-02-14,14:30:00,2020-02-14,15:30:00,FALSE,Multi-Device Programming,FRL,FALSE
CS 3112 (P),2020-02-14,15:30:00,2020-02-14,16:30:00,FALSE,Multi-Device Programming,FRL,FALSE
CS 3112 (P),2020-02-14,16:30:00,2020-02-14,17:30:00,FALSE,Multi-Device Programming,FRL,FALSE
MGT 401 (L),2020-02-17,15:30:00,2020-02-17,16:30:00,FALSE,Entrepreneurship,LT 202,FALSE
CS 392 (P),2020-02-18,9:30:00,2020-02-18,10:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
CS 392 (P),2020-02-18,10:30:00,2020-02-18,11:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
CS 392 (P),2020-02-18,11:30:00,2020-02-18,12:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
DS 412 (L),2020-02-18,14:30:00,2020-02-18,15:30:00,FALSE,Inferential Statistics for Data Science,LT 212,FALSE
CS 392 (L),2020-02-18,15:30:00,2020-02-18,16:30:00,FALSE,Capstone Project I,LT 201,FALSE
CS 3112 (L),2020-02-19,9:30:00,2020-02-19,10:30:00,FALSE,Multi-Device Programming,LT 201,FALSE
DS 412 (L),2020-02-19,10:30:00,2020-02-19,11:30:00,FALSE,Inferential Statistics for Data Science,LT 202,FALSE
MGT 401 (L),2020-02-19,14:30:00,2020-02-19,15:30:00,FALSE,Entrepreneurship,LT 202,FALSE
MGT 401 (L),2020-02-20,8:30:00,2020-02-20,9:30:00,FALSE,Entrepreneurship,LT 212,FALSE
DS 412 (P),2020-02-20,11:30:00,2020-02-20,12:30:00,FALSE,Inferential Statistics for Data Science,FRL,FALSE
DS 412 (P),2020-02-20,12:30:00,2020-02-20,13:30:00,FALSE,Inferential Statistics for Data Science,FRL,FALSE
CS 3112 (P),2020-02-20,14:30:00,2020-02-20,15:30:00,FALSE,Multi-Device Programming,FRL,FALSE
CS 3112 (P),2020-02-20,15:30:00,2020-02-20,16:30:00,FALSE,Multi-Device Programming,FRL,FALSE
CS 3112 (P),2020-02-20,16:30:00,2020-02-20,17:30:00,FALSE,Multi-Device Programming,FRL,FALSE
DS 412 (P),2020-02-21,8:30:00,2020-02-21,9:30:00,FALSE,Inferential Statistics for Data Science,FRL,FALSE
DS 412 (P),2020-02-21,9:30:00,2020-02-21,10:30:00,FALSE,Inferential Statistics for Data Science,FRL,FALSE
CS 392 (P),2020-02-21,10:30:00,2020-02-21,11:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
CS 392 (P),2020-02-21,11:30:00,2020-02-21,12:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
CS 392 (P),2020-02-21,12:30:00,2020-02-21,13:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
CS 3112 (P),2020-02-21,14:30:00,2020-02-21,15:30:00,FALSE,Multi-Device Programming,FRL,FALSE
CS 3112 (P),2020-02-21,15:30:00,2020-02-21,16:30:00,FALSE,Multi-Device Programming,FRL,FALSE
CS 3112 (P),2020-02-21,16:30:00,2020-02-21,17:30:00,FALSE,Multi-Device Programming,FRL,FALSE
MGT 401 (L),2020-02-24,15:30:00,2020-02-24,16:30:00,FALSE,Entrepreneurship,LT 202,FALSE
CS 392 (P),2020-02-25,9:30:00,2020-02-25,10:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
CS 392 (P),2020-02-25,10:30:00,2020-02-25,11:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
CS 392 (P),2020-02-25,11:30:00,2020-02-25,12:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
DS 412 (L),2020-02-25,14:30:00,2020-02-25,15:30:00,FALSE,Inferential Statistics for Data Science,LT 212,FALSE
CS 392 (L),2020-02-25,15:30:00,2020-02-25,16:30:00,FALSE,Capstone Project I,LT 201,FALSE
CS 3112 (L),2020-02-26,9:30:00,2020-02-26,10:30:00,FALSE,Multi-Device Programming,LT 201,FALSE
DS 412 (L),2020-02-26,10:30:00,2020-02-26,11:30:00,FALSE,Inferential Statistics for Data Science,LT 202,FALSE
MGT 401 (L),2020-02-26,14:30:00,2020-02-26,15:30:00,FALSE,Entrepreneurship,LT 202,FALSE
MGT 401 (L),2020-02-27,8:30:00,2020-02-27,9:30:00,FALSE,Entrepreneurship,LT 212,FALSE
DS 412 (P),2020-02-27,11:30:00,2020-02-27,12:30:00,FALSE,Inferential Statistics for Data Science,FRL,FALSE
DS 412 (P),2020-02-27,12:30:00,2020-02-27,13:30:00,FALSE,Inferential Statistics for Data Science,FRL,FALSE
CS 3112 (P),2020-02-27,14:30:00,2020-02-27,15:30:00,FALSE,Multi-Device Programming,FRL,FALSE
CS 3112 (P),2020-02-27,15:30:00,2020-02-27,16:30:00,FALSE,Multi-Device Programming,FRL,FALSE
CS 3112 (P),2020-02-27,16:30:00,2020-02-27,17:30:00,FALSE,Multi-Device Programming,FRL,FALSE
DS 412 (P),2020-02-28,8:30:00,2020-02-28,9:30:00,FALSE,Inferential Statistics for Data Science,FRL,FALSE
DS 412 (P),2020-02-28,9:30:00,2020-02-28,10:30:00,FALSE,Inferential Statistics for Data Science,FRL,FALSE
CS 392 (P),2020-02-28,10:30:00,2020-02-28,11:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
CS 392 (P),2020-02-28,11:30:00,2020-02-28,12:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
CS 392 (P),2020-02-28,12:30:00,2020-02-28,13:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
CS 3112 (P),2020-02-28,14:30:00,2020-02-28,15:30:00,FALSE,Multi-Device Programming,FRL,FALSE
CS 3112 (P),2020-02-28,15:30:00,2020-02-28,16:30:00,FALSE,Multi-Device Programming,FRL,FALSE
CS 3112 (P),2020-02-28,16:30:00,2020-02-28,17:30:00,FALSE,Multi-Device Programming,FRL,FALSE
MGT 401 (L),2020-03-02,15:30:00,2020-03-02,16:30:00,FALSE,Entrepreneurship,LT 202,FALSE
CS 392 (P),2020-03-03,9:30:00,2020-03-03,10:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
CS 392 (P),2020-03-03,10:30:00,2020-03-03,11:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
CS 392 (P),2020-03-03,11:30:00,2020-03-03,12:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
DS 412 (L),2020-03-03,14:30:00,2020-03-03,15:30:00,FALSE,Inferential Statistics for Data Science,LT 212,FALSE
CS 392 (L),2020-03-03,15:30:00,2020-03-03,16:30:00,FALSE,Capstone Project I,LT 201,FALSE
CS 3112 (L),2020-03-04,9:30:00,2020-03-04,10:30:00,FALSE,Multi-Device Programming,LT 201,FALSE
DS 412 (L),2020-03-04,10:30:00,2020-03-04,11:30:00,FALSE,Inferential Statistics for Data Science,LT 202,FALSE
MGT 401 (L),2020-03-04,14:30:00,2020-03-04,15:30:00,FALSE,Entrepreneurship,LT 202,FALSE
MGT 401 (L),2020-03-05,8:30:00,2020-03-05,9:30:00,FALSE,Entrepreneurship,LT 212,FALSE
DS 412 (P),2020-03-05,11:30:00,2020-03-05,12:30:00,FALSE,Inferential Statistics for Data Science,FRL,FALSE
DS 412 (P),2020-03-05,12:30:00,2020-03-05,13:30:00,FALSE,Inferential Statistics for Data Science,FRL,FALSE
CS 3112 (P),2020-03-05,14:30:00,2020-03-05,15:30:00,FALSE,Multi-Device Programming,FRL,FALSE
